# ******* Тестовое задание на Junior Python Developer ********
# 
# 
# В этом файле находятся строки с переводом английских слов на русские в формате
# Astur-Leonese ; Asturian ; Asturian-Leonese ; Astur	астурийский ; астурлеонский
#
# Это значит, что каждое из английских слов (Astur-Leonese ; Asturian ; Asturian-Leonese ; Astur) может переводиться как любое русское (астурийский ; астурлеонский)
#
# Также встречаются простые варианты где в строке 1 английское и русское слово
# Abidjan	Абиджан
# 
# Английские слова отделены от русских переводов символом табуляции
# 
# Надо распарсить этот файл и на базе него сделать 2 файла - English.txt и Russian txt, где каждой строке на английском будет соответствовать строка перевода на русском в другом файле во всех возможных вариантах.
# 
# Пример текста, который должен получиться в файлах, после работы вашего кода:
# 
# English.txt				Russian.txt		
#	
# Astur-Leonese				астурийский
# Astur-Leonese				астурлеонский
# Asturian				    астурийский
# Asturian				    астурлеонский
# Asturian-Leonese			астурийский
# Asturian-Leonese			астурлеонский
# ....						....
#
# Код который вы напишите присылайте на alexeir@lingvanex.com
#
#



9 ; nine	девять ; девять
Bulgaria ; Republic of Bulgaria	Болгария
Bulgarian	болгарин ; болгарка
Bulgarian ; Bulgarian	болгарский
Burkina Faso	Буркина-Фасо
Burmese	бирманский
Burundi ; Republic of Burundi	Бурунди
CD-ROM	лазерный диск
CD-ROM search service	поисковый сервис на лазерных дисках CD-ROM
CFC ; chlorofluorocarbon	хлорфторуглероды
CFC and halons prohibition	запрет на хлорфторуглероды и галон
Cairo	Каир
California	Калифорния
Cambodia ; Kingdom of Cambodia	Камбоджа
Cameroon ; Republic of Cameroon	Камерун
Canada	Канада
Cancer	Рак
Canis Major	Большой Пёс
Cape Verde ; Republic of Cape Verde	Кабо-Верде
Capricorn	Козерог
Caribbean Area ; Caribbean	Карибский регион
Caribbean Sea	Карибское море
Caspian Sea	Каспийское море
Cassiopeia	Кассиопея
Castilian ; Spanish ; Spanish	испанский ; испанский язык
Catalan ; Catalan	каталонский
Cayman Islands	Каймановы острова
Central Africa	Центральная Африка
Central African Republic	Центрально-африканская Республика
Central America	Центральная Америка
Central Asia	Центральная Азия
Chad ; Republic of Chad	Чад
Chechen ; Chechen	чеченский
Chihuahua	Чиуауа
Chihuahua ; chihuahua	чихуахуа
Chile ; Republic of Chile	Чили
Chinese	китайский
Christmas	Рождество
Christmas Island	Остров Рождества
Christmas tree	новогодние ёлки
Chuvash ; Chuvash ; Chuwash ; Chovash ; Chavash ; Chttash	чувашский язык ; чувашский
Cologne	Кёльн
Colombia ; Republic of Colombia	Колумбия
Community act	закон ЕС
Community budget	бюджет Сообщества
Community finance	финансы ЕС
Community law	законы Сообщества
Community legal system	правовая система ЕС
Community ruling	решение Сообщества
Comoros ; Union of the Comoros	Коморские острова
Cook Islands	Кука острова
Copenhagen	Копенгаген
Corfu	Корфу
Cornish	корнуэльский
Corsican ; Corsican	корсиканский
Costa Rica ; Republic of Costa Rica	Коста-Рика
Court of Justice of the European Communities	Суд Европейского Союза
Croatia ; Republic of Croatia	Хорватия
Croatian ; Croation	хорватский
Cuba ; Republic of Cuba	Куба
Cyprus ; Republic of Cyprus	Кипр
Czech ; Czech	чешский
Czech Republic ; Czechia	Чехия
DDT ; dichloro-diphenyl-trichloroethane	ДДТ
DNA ; deoxyribonucleic acid	ДНК ; дезоксирибонуклеиновая кислота
Dagestan	Дагестан
Dakar	Дакар
Danish	датский
December	декабрь
Definition ; definition	определение
Delaware	Делавэр
Democratic Republic of the Congo ; Congo-Kinshasa	Демократическая Республика Конго
Denmark ; Kingdom of Denmark	Дания
Djibouti ; Republic of Djibouti	Джибути
Dominica ; Commonwealth of Dominica	Доминика
Dominican Republic	Доминиканская Республика
Dublin	Дублин
Dutch	нидерландский
EC Council of Ministers	Совет Министров ЕС (Совет Европейского Союза)
EC Treaty	"Римский Договор" ; Римский Договор
EC directive	директива ЕС
EC directive on biocides	директива ЕС по биоцидам
EC directive on waste disposal	директива ЕС по утилизации отходов
EC directive on water protection	директива ЕС по защите вод
EC ecolabel	экологическая маркировка в ЕС
EC policy	политика ЕС
EC regulation	постановление, нормативный документ ЕС
EC regulation on eco-management and audit	постановление ЕС об экоменеджменте и аудите
EC regulation on existing chemicals	постановление ЕС по известным химикатам
EIA (local)	экологическая экспертиза (местн.)
EIA ; environmental impact assessment	оценка воздействия на окружающую среду, экологическая экспертиза
EIA directive	директива ЕС по экологической экспертизе
EIA law	законы, регулирующие экологическую экспертизу
EU ; European Union	Европейский Союз
EU Council	Совет ЕС
Earth-Sun relationship	взаимосвязь Земли и Солнца
East Africa	Восточная Африка
East Timor ; Democratic Republic of Timor-Leste	Восточный Тимор
East-West relations	взаимоотношения "Восток-Запад"
East-West trade	торговля между Востоком и Западом
Easter	Пасха
Eastern Asia ; East Asia	Восточная Азия
Eastern Europe	Восточная Европа
Ecuador ; Republic of Ecuador	Эквадор
Egypt ; Arab Republic of Egypt	Египет
El Salvador ; Republic of El Salvador	Сальвадор
England	Англия
English	английский
English garden	английский сад
Epiphany	Крещение Господне
Equatorial Guinea ; Republic of Equatorial Guinea	Экваториальная Гвинея
Erevan ; Yerevan	Ереван ; Эривань
Eritrea	Эритрия
Esperanto ; Esperanto	эсперанто
Estonia ; Republic of Estonia	Эстония
Estonian	эстонский ; Эстонский
Ethiopia ; Federal Democratic Republic of Ethiopia	Эфиопия
Euratom	Евратом
Europe	Европа
European Commission	Европейская Комиссия
European Communities	Европейские Сообщества
European Court of Justice	Европейский Суд
European Environment Agency	Европейское агентство по охране окружающей среды
European Environmental Council	Европейский Совет по охране окружающей среды
European Monetary Fund	Европейский валютный фонд
European Monetary System ; EMS	Европейская валютная система
European Parliament	Европейский Парламент
European nature reserve	европейский природный заповедник
European standard	европейский стандарт
Falkland Islands	Фолклендские острова
Faroe Islands	Фарерские острова
Faroese ; Faeroese	фарерский
February	февраль
Fiji ; Republic of the Fiji Islands	Фиджи
Finland ; Republic of Finland	Финляндия
Finnish	финский
Flanders ; Flemish region	Фландрия
Flemish	фламандский
Flevoland	Флеволанд
France	Франция
French ; French	французский
French Guiana	Французская Гвиана
French Polynesia	Французская Полинезия
French Southern Territories ; French Southern and Antarctic LandsA ; French Southern and Antarctic Lands ; Territory of the French Southern and Antarctic Lands	Teritoriile australe şi antarctice franceze ; Французские Южные и Антарктические Территории
French formal garden	французский сад
Frenchman	француз
Friday	пятница
Frisian ; Western Frisian	Фризский ; фризский
GDP ; gross domestic product	валовый внутренний продукт
GDR ; German Democratic Republic	ГДР ; Германская Демократическая Республика
GIS digital format	цифровой формат ГИС
GIS digital system	цифровая система ГИС
GIS digital technique	цифровые средства ГИС
GIS laboratory	лаборатория ГИС
Gabon ; Gabonese Republic	Габон
Gaborone	Габороне
Galician ; Galician	галисийский
Gambia ; Gambia ; Gambia ; Gambia ; The Gambia ; Republic of The Gambia	Гамбия
Gaza Strip	Сектор Газа
Gemini	Близнецы
Georgia	Грузия
Georgia	Джорджия
Georgian ; Georgian	грузинский
German	немецкий
German	немец ; немка
German (Austria)	немецкий (Австрия)
German (Switzerland)	немецкий (Швейцария)
Germany ; Federal Republic of Germany	Германия
Ghana ; Republic of Ghana	Гана
Gibraltar	Гибралтар
Global Environment Facility ; GEF	"Глобальный экологический фонд" - ГЭФ ; Глобальный экологический фонд ; ГЭФ
Great Britain ; Britain	Великобритания
Greece ; Hellenic Republic	Греция
Greek ; Greek	греческий
Greenland	Гренландия
Grenada	Гренада
Guadeloupe	Гваделупа
Guam ; Guam ; Guam	Гуам
Guatemala ; Republic of Guatemala	Гватемала
Guinea ; Republic of Guinea	Гвинея
Guinea-Bissau ; Republic of Guinea-Bissau	Гвинея-Бисау
Gujarati ; Gujarati	гуджарати ; гуджаратский ; гуярати
Guyana ; Republic of Guyana	Гайана
H5N1 ; Influenza A virus subtype H5N1 ; A(H5N1)	Подтип H5N1 вируса гриппа A ; A(H5N1) ; H5N1
Haiti ; Republic of Haiti	Гаити
Hanover	Ганновер
Happy New Year	с Новым годом
Hebrew	иврит
Hercules	Геркулес
Hindi ; Hindi	хинди
Holland ; Kingdom of the Netherlands ; The Netherlands	Голландия
Honduras ; Republic of Honduras	Гондурас
Hungarian	венгерский
Hungary ; Republic of Hungary	Венгрия
I	я
IMCO code	код ИМКО (Межправительственная морская консультативная организация)
IMF ; International Monetary Fund	Международный валютный фонд
ISO standard	стандарт ИСО (Международной организации по стандартизации) ; стандарт ИСО
Iceland ; Republic of Iceland	Исландия
Icelandic	исландский
Ido ; Ido	идо
Iliad	Илиада
India ; Republic of India	Индия
Indian Ocean	Индийский океан
Indonesia ; Republic of Indonesia	Индонезия
Indonesian	индонезийский
Indre	Эндр
Interlingua ; Interlingua, "Simplified" Latin ; Interlingua, "Simplified" Latin	интерли́нгва
International Court of Justice	Международный Суд
Internet	Интернет
Iran ; Islamic Republic of Iran	Иран
Iraq ; Republic of Iraq	Ирак
Ireland ; Republic of Ireland	Ирландия
Irish ; Irish ; Irish Gaelic ; Irish	ирландский
Islam	ислам
Isle of Man ; Isle of Mann ; Mann	Остров Мэн
Israel ; State of Israel	Израиль
Italian ; Italian	итальянский
Italian Republic ; Italy	Италия
Ivory Coast ; Cote d'Ivoire ; Republic of Cote d'Ivoire	Кот-д'Ивуар
Jakarta ; Djakarta ; DKI Jakarta	Джакарта
Jamaica	Ямайка
January	январь
Japan ; State of Japan	Япония
Japanese ; Japanese	японский
Javanese	яванский
Jordan ; Hashemite Kingdom of Jordan	Иордания
Judaism	иудаизм ; иудейство
July	июль
June	июнь
Jupiter	Юпитер
Kalaallisut	гренландский
Kannada ; Kannada	каннада
Karelian	карельский
Kazakh ; Kazakh	казахский
Kazakhstan ; Republic of Kazakhstan	Казахстан
Kenya ; Republic of Kenya	Кения
Khartoum	Хартум
Khmer ; Central Khmer	кмер
Kiribati ; Republic of Kiribati	Кирибати
Korean ; Korean	корейский
Kosovo	Косово и Метохия
Krakow ; Cracow	Краков
Kuwait ; State of Kuwait	Кувейт
Kyoto	Киото
Kyrgyzstan ; Kyrgyz Republic	Киргизстан
Lagos	Лагос
Laos ; Lao People's Democratic Republic	Лаос
Latin ; Latin	латинский ; латынь
Latvia ; Republic of Latvia	Латвия
Latvian ; Latvian	латышский
Lausanne	Лозанна
Lebanon ; Lebanese Republic	Ливан
Leningrad ; Petrograd ; Saint Petersburg ; St. Petersburg	Ленинград ; Петроград ; Санкт-Петербург
Leo	Лев
Lesotho ; Kingdom of Lesotho	Лесото
Liberia ; Republic of Liberia	Либерия
Libya ; Great Socialist People's Libyan Arab Jamahiriya	Ливия
Liechtenstein ; Principality of Liechtenstein	Лихтенштейн ; Княжество Лихтенштейн
Limburgish ; Limburgian	лимбургский
Lisbon	Лиссабон
Lithuania ; Republic of Lithuania	Литва
Lithuanian ; Lithuanian	литовский
London	Лондон
Lower House	Нижняя Палата
Lower Saxony	Нижняя Саксония
Luxembourg ; Grand Duchy of Luxembourg	Люксембург
Luxembourgish ; Luxemburgish ; Luxembourgian	люксембургский
Macedonia ; Republic of Macedonia	Македония
Macedonian ; Macedonian	македонский
Madagascar ; Republic of Madagascar	Мадагаскар
Malawi ; Republic of Malaŵi	Малави
Malayalam ; Malayalam	малайялам ; малаялам
Malaysia	Малайзия
Maldives ; Republic of the Maldives	Мальдивы
Mali ; Republic of Mali	Мали
Malta ; Republic of Malta	Мальта
Maltese	мальтийский
Marathi ; Marāthi ; Marāthi ; MarÄthi	маратхи
March	март
Markov chain ; Markoff chain	цепь Маркова
Marshall Islands ; Republic of the Marshall Islands	Маршалловы острова
Martinique	Мартиника
Mauritania ; Islamic Republic of Mauritania	Мавритания
Mauritius ; Republic of Mauritius	Маврикий
May	май
Mayotte	Майотта
Mecca	Мекка
Mediterranean Area	средиземноморский регион
Mediterranean Sea	Средиземное море
Mediterranean climate	средиземноморский климат
Mediterranean forest	средиземноморский лес
Mediterranean wood	средиземноморский лес
Mercury	Меркурий
Merry Christmas	С Рождеством Христовым
Mexico ; United Mexican States	Мексика
Micronesia ; Federated States of Micronesia	Микронезия
Milan	Милан
Milky Way ; Galaxy	Млечный Путь
Milwaukee	Милуоки
Moldova	Молдова
Monaco	Монако
Monday	понедельник
Mongolia	Монголия
Montenegro	Черногория
Montserrat	Монтсеррат
Morocco ; Kingdom of Morocco	Марокко
Moscow	Москва
Mount Fuji	Фудзи
Mozambique	Мозамбик
Mumbai ; Bombay	Бомбей ; Мумбаи
Munich	Мюнхен
Myanmar	Мьянма
NIMBY aptitude ; NIMBY attitude	принцип "Только не у меня дома!"
NOEL	"не имеет выраженного действия"
Nagorno-Karabakh	Нагорный Карабах
Nairobi	Найроби
Namibia	Намибия
Naples	Неаполь
Nauru ; Republic of Nauru	Науру
Neapolitan ; Neapolitan	неаполитанский
Nepal	Непал
Nepali ; Nepali	непальский
Neptune	Нептун
New Caledonia	Новая Каледония
New Year ; New Year's Day	Новый год
New York	Нью-Йорк
New Zealand	Новая Зеландия
Nicaragua	Никарагуа
Niger	Нигер
Nigeria	Нигерия
Niue	Ниуэ
North Africa	Северная Африка
North America	Северная Америка
North Atlantic Ocean	северная часть Атлантического океана
North Korea ; Democratic People's Republic of Korea	Северная Корея
North-South relationship	взаимоотношения "Север-Юг"
Northern Ireland	Северная Ирландия
Norway ; Kingdom of Norway	Норвегия
Norwegian	норвежский
November	ноябрь
Novial	новиаль
Nuuk	Нук
Nynorsk	нюнорск
Oceania	Океания
October	октябрь
Oman ; Sultanate of Oman	Оман
Orleans	Орлеан
Oslo	Осло
Pacific Ocean	Тихий океан
Pakistan ; Islamic Republic of Pakistan	Пакистан
Palau	Палау
Panama	Панама
Papua New Guinea	Папуа-Новая Гвинея
Paraguay	Парагвай
Parliament	парламент
People's Republic of China ; China	Китай
Persian ; Western Farsi ; Farsi	персидский ; фарси
Peru ; Republic of Peru	Перу
Philadelphia	Филадельфия
Philippines	Филиппины
Phobos	Фобос
Piedmontese ; Piedmontese ; Piemontese ; Piemontese	пьемонтезский
Poland	Польша
Polish ; Polish	польский
Portugal	Португалия
Portuguese ; Portuguese	португальский
Puerto Rico	Пуэрто-Рико
Punjabi ; Panjabi	панджаби ; пенджабский
Pyrrhic victory	пиррова победа
Qatar	Катар
Ramadan	Рамадан
Republic of the Congo ; Congo-Brazzaville	Республика Конго
Rhône	Рона
Romania	Румыния
Romanian ; Romanaian	румынский
Rome	Рим
Russia ; Russian Federation	Ryssland ; Россия ; Российская Федерация
Russian ; Russian	русский ; russo
Sagittarius	Стрелец
Saint-Pierre and Miquelon	Сен-Пьер и Микелон
Sakhalin ; Saghalien	Сахалин
Samoa	Самоа
San Marino	Сан Марино
Sanskrit ; Sanskrit	санскрит
Sapir–Whorf hypothesis	гипотеза Сепира-Уорфа
Saturday	суббота
Saturn	Сатурн
Saudi Arabia ; Kingdom of Saudi Arabia	Саудовская Аравия
Saxony	Саксония
Scorpio	Скорпион
Scotland	Шотландия
Seine	Сена
Senegal	Сенегал
September	сентябрь
Serbia	Сербия
Serbia and Montenegro	Сербия и Черногория
Serbian ; Serbian	сербский
Seychelles ; Republic of Seychelles	Сейшелы
Sicilian ; Sicilian	сицилийский
Sierra Leone	Сьерра-Леоне
Sindhi ; Sindhi	синдхи
Singapore	Сингапур
Slovak ; Slovak	словацкий
Slovakia	Словакия
Slovene ; Slovenian ; Slovenian	словенский
Slovenia	Словения
Sochi	Сочи
Solomon Islands	Соломоновы острова
South Africa	Южная Африка ; Южно-Африканская Республика ; ЮАР
South America	Южная Америка
South Korea ; Republic of Korea	Южная Корея
Southeast Asia	Юго-Восточная Азия
Southern Asia ; South Asia	Южная Азия
Spain	Испания
Sri Lanka	Шри-Ланка
Sudan	Судан
Sunday	воскресенье
Suriname	Суринам
Swahili	суахили
Sweden	Швеция
Swedish	шведский
Switzerland	Швейцария
Syria ; Syrian Arab Republic	Сирия
Tagalog	тагальский
Taiwan	Тайвань
Tajik	таджикский
Tajikistan	Таджикистан
Tamil ; Tamil	тамильский
Tanzania	Танзания
Tatar ; Tatar	tатарский ; татарский
Taurus	Телец
Tehran	Тегеран
Telugu ; Telugu	телугу
Tennessee	Теннесси
Thai ; Thai	тайский
Thailand	Таиланд
The Hague	Гаага
Thuringia	Тюрингия
Thursday	четверг
Togo	Того
Tokyo	Токио
Tonga	Тонга
Toronto	Торонто
Tswana	тсвана
Tuesday	вторник
Tunisia	Тунис
Turkey	Турция
Turkish ; Turkish	турецкий
Turkmenistan	Туркменистан
UN ; United Nations	Организация Объединенных Наций
Uganda ; Republic of Uganda	Уганда
Ukraine	Украина
Ukrainian ; Ukrainian	украинский
United Arab Emirates	Объединённые Арабские Эмираты
United Kingdom ; United Kingdom of Great Britain and Northern Ireland ; UK	Великобритания ; Соединённое Королевство Великобритании и Северной Ирландии
United States ; United States of America ; America ; US ; U.S. ; U.S.A. ; U.S. of A. ; States	Соединённые Штаты Америки ; США
Uranus	Уран
Urdu ; Urdu	урду
Utah	Юта
Vaduz	Вадуц
Vatican City ; The Holy See ; State of the Vatican City	Государство-город Ватикан
Venezuela	Венесуэла
Venice	Венеция
Venus	Венера
Vienna	Вена
Vietnamese ; Vietnamese	вьетнамский
Volapük	волапюк
Volga	Волга
Wales	Уэльс
Wallis and Futuna ; Territory of the Wallis and Futuna Islands	Острова Уоллис и Футуна
Walloon ; Walloon	валлонский
Washington	Вашингтон
Wednesday ; quarta-feira	среда
Welsh ; Welsh	валлийский
Western Asia ; Southwest Asia	Западная Азия
Western Europe	Западная Европа
Wikipedia	Википедия
Wiktionary	Викисловарь
World Wide Web ; WWW	Всемирная сеть
Wyoming	Вайоминг
Xhosa	коса
Yemen ; Republic of Yemen	Йемен
Yiddish	идиш
Yugoslavia	Югославия
Zambia ; Republic of Zambia	Замбия
Zanzibar	Занзибар
Zimbabwe ; Republic of Zimbabwe	Зимбабве
Zulu	зулу ; зулусский
aAmplitude ; amplitude	aмплитуда
aback	ошеломлённый
abacus	абак
abandoned industrial site	заброшенная промышленная площадка
abandoned vehicle ; car wreck	брошенный автомобиль
abbreviation	сокрaщение
abiotic environment	абиотическая среда
abiotic factor	абиотический фактор
abolitionist	аболиционист
abortive	неудачный
abrasive	абразивный
abridge	сокращать
abscess	абсцесс
absorption	абсорбция
acceleration	ускорение
acceptable daily intake	допустимая суточная норма потребления
acceptable risk level	приемлемый уровень риска
access road	подъездные дороги
access to administrative documents	доступ к административным документам
access to culture	доступ к культурным ценностям
access to information	доступ к информации
access to the courts	доступ к судебным органам
accident	авария
accident source ; cause of the accident	причина аварии
accidental release of organisms	выброс биоматериала в результате аварий
accordion ; squeeze box ; piano accordion	гармоника ; гармонь
accounting	бухгалтерский учет
accounting system	система бухучета
accumulator	аккумуляторная батарея
acid	кислота
acid deposition	кислотные осадки
acid rain	кислотный дождь
acidification	подкисление
acidity	кислотность
acidity degree	уровень кислотности
acne	угреватость
acoustic comfort	акустический комфорт
acoustic filter ; audio filter	акустический фильтр
acoustic insulation	звукоизоляция
acoustic level ; sound pressure level	уровень звука
acoustic property	акустические свойства
acoustical quality	акустическое свойство
acoustics	акустика
acquisition	приобретение
acrid	едкий
act ; deed	акт
actinide	актиниды
actinium	актиний
action group ; action committee	группа активистов
activated carbon	активированный уголь
activated sludge	активный ил
active participation	активное участие
active population	экономически активное население
activist	активист
adaptation period	период адаптации
add	прибавить
addition	сложение
additional packaging	дополнительная упаковка
additive	добавки
adequate food supply	достаточное обеспечение продуктами питания
adhesive	адгезивные вещества
adieu ; bye ; cheerio ; farewell ; good day ; goodbye	пока
adjective ; describing word	имя прилагательное
adjust	приспособить
administration ; direction ; management	администрация ; управление
administrative body ; administrative organ	административный орган
administrative boundary	административная граница
administrative competence ; administrative ability	компетентность административного персонала
administrative deed	действие администрации
administrative fiat	административный приказ
administrative instructions	административная подготовка
administrative law	административное право
administrative occupation	административная должность
administrative organisation	административная организация
administrative procedure	административная процедура
administrative sanction	административная санкция
adoption	усыновление
adsorption	адсорбция
adult	взрослый человек
adult education	обучение взрослого населения
adventure	приключение
adverb	наречие
advertisement ; promotion	реклама
advice	консультация ; совет, консультация ; совет
aeration	аэрация
aerial	антенна
aerial photograph	аэрофотоснимок
aerial photography	аэрофотосъемка
aerobic process	аэробный процесс
aerobic treatment	аэробная обработка
aerobiology	аэробиология
aerodynamic noise	аэродинамический шум
aeroplane ; bird ; plane	аэроплан ; самолёт
aerosol	аэрозоль
aesthetics	эстетика
afforestation ; tree planting ; afforestment	облесение
afterburning ; afterburning ; afterburner	дожигание
age	возраст
aggressive	нападающий
aggressor ; assailant ; attacker ; assaulter	противник
agoraphobia ; agoraphobia ; agoraphobia ; agoraphobia	aгорафобия ; aгорафобия
agreement	соглашение
agri-foodstuff	производство продуктов питания в сельском хозяйстве
agricultural biotechnology	сельскохозяйственная биотехнология
agricultural building	сельскохозяйственное строение
agricultural disaster	бедствие, наносящее вред сельскому хозяйству
agricultural ecology ; agroecology	экология сельского хозяйства
agricultural economics	экономика сельского хозяйства
agricultural effluent	сельскохозяйственные стоки
agricultural engineering	агротехника
agricultural equipment	сельскохозяйственное оборудование
agricultural equipment ; agricultural machinery ; farm machinery	сельскохозяйственное оборудование ; сельскохозяйственные машины
agricultural exploitation	сельскохозяйственная эксплуатация
agricultural hydraulics	мелиорация
agricultural land	сельскохозяйственные угодья
agricultural landscape	сельскохозяйственный ландшафт
agricultural legislation	сельскохозяйственное право
agricultural management	управление в сельском хозяйстве
agricultural method	агротехнические методы
agricultural pest	сельскохозяйственные вредители
agricultural planning	планирование сельского хозяйства
agricultural policy	сельскохозяйственная политика
agricultural pollution	сельскохозяйственное загрязнение
agricultural product	сельскохозяйственная продукция
agricultural production ; farm production ; agricultural output	сельскохозяйственное производство
agricultural real estate	объект недвижимости в сельском хозяйстве
agricultural storage	хранение сельскохозяйственной продукции
agricultural structure	основные фонды сельского хозяйства
agricultural undervaluation	занижение цен на сельскохозяйственную продукцию
agricultural waste	отходы сельского хозяйства
agriculture	сельское хозяйство
agriculture ; agriculture	сельское хозяйство ; сельское хозяйство
agriculture and cattle industry	сельское хозяйство и животноводство
agriculture framework plan	перспективный сельскохозяйственный план
agritourism	загородный туризм
agrochemical	агрохимикат
agroforestry	агролесоводство
agroindustry	агроиндустрия
agrometeorology	агрометеорология
agronomic value	цена на сельхозпродукцию
agronomy	агрономия
agrosystem	агросистема
aid policy	политика в области экономической помощи
air	воздух
air conditioning ; AC ; air-conditioning	кондиционирование воздуха
air movement	движение воздуха
air pollutant	вещество, загрязняющее воздух
air pollution	загрязнение воздуха
air quality	качество воздуха
air quality control	контроль за качеством воздуха
air quality management	управление качеством воздуха
air quality monitoring	мониторинг качества воздуха
air sac ; alveolus	альвеола
air safety	воздушная безопасность
air temperature	температура воздуха
air traffic	движение воздушного транспорта
air traffic law	законы в области воздушного транспорта
air transportation	воздушные перевозки
air-water interaction	взаимодействие "воздух-вода"
airborne noise	шум от находящихся в воздухе источников
aircraft	летательный аппарат
aircraft noise	шум, производимый летательными аппаратами
airmail	авиапочта
airport	аэропорт
airspace planning	аэрокосмическое планирование
alarm ; alert ; warning	тревога
alarm clock	будильник
albinism	aльбинизм
alchemist	алхимик
alchemy	алхимия
alcohol	алкоголь
alcoholism	алкоголизм
alga	водоросль
algal bloom	рост водорослей
algebra	алгебра
algicide ; algaecide	алгицид
algorithm	алгоритм
alibi	алиби
